hiragana,katakana,tamil,romaji
あ,ア,அ,A
い,イ,இ,I
う,ウ,உ,U
え,エ,எ,E
お,オ,ஒ,O
か,カ,க,Ka
き,キ,கி,Ki
く,ク,கு,Ku
け,ケ,கே,Ke
こ,コ,கொ,Ko
さ,サ,ச,Sa
し,シ,சி,Shi
す,ス,சு,Su
せ,セ,செ,Se
そ,ソ,சொ,So
た,タ,த,Ta
ち,チ,தி,Chi
つ,ツ,து,Tsu
て,テ,தே,Te
と,ト,தொ,To
な,ナ,ந,Na
に,ニ,நி,Ni
ぬ,ヌ,நு,Nu
ね,ネ,நே,Ne
の,ノ,நொ,No
は,ハ,ஹ,Ha
ひ,ヒ,ஹி,Hi
ふ,フ,ஹு,Fu
へ,ヘ,ஹே,He
ほ,ホ,ஹொ,Ho
ま,マ,ம,Ma
み,ミ,மி,Mi
む,ム,மு,Mu
め,メ,மே,Me
も,モ,மொ,Mo
や,ヤ,ய,Ya
ゆ,ユ,யு,Yu
よ,ヨ,யொ,Yo
ら,ラ,ற,Ra
り,リ,றி,Ri
る,ル,று,Ru
れ,レ,றே,Re
ろ,ロ,றொ,Ro
わ,ワ,வ,Wa
を,ヲ,வொ,Wo
ん,ン,ன்,N
が,ガ,க,Ga
ぎ,ギ,கி,Gi
ぐ,グ,கு,Gu
げ,ゲ,கே,Ge
ご,ゴ,கொ,Go
ざ,ザ,ச,Za
じ,ジ,சி,Ji
ず,ズ,சு,Zu
ぜ,ゼ,செ,Ze
ぞ,ゾ,சொ,Zo
だ,ダ,த,Da
ぢ,ヂ,தி,Ji
づ,ヅ,து,Zu
で,デ,தே,De
ど,ド,தொ,Do
ば,バ,ப,Ba
び,ビ,பி,Bi
ぶ,ブ,பு,Bu
べ,ベ,பே,Be
ぼ,ボ,பொ,Bo
ぱ,パ,ப,Pa
ぴ,ピ,பி,Pi
ぷ,プ,பு,Pu
ぺ,ペ,பே,Pe
ぽ,ポ,பொ,Po
